mpa_name,date,bottomT,long_dd,lat_dd,long_approx,lat_approx
Point Sur SMR,2016-05-08,10.167882330715656,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-05-09,10.383220933377743,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-05-10,10.5209204480052,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-05-11,10.596362203359604,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-05-12,10.704763948917389,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-05-13,10.802179031074047,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-05-14,10.836603909730911,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-05-15,10.808771029114723,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-05-16,10.68498795479536,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-05-17,10.515793338418007,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-05-18,10.433027140796185,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-05-19,10.392010264098644,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-05-20,10.293130293488503,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-05-21,10.159825444221497,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-05-22,10.12027345597744,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-05-23,10.11587879061699,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-05-24,10.144444115459919,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-05-25,10.178868994116783,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-05-26,10.208166763186455,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-05-27,10.215491205453873,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-05-28,10.188390769064426,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-05-29,10.16129033267498,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-05-30,10.168614774942398,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-05-31,10.18179877102375,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-06-01,10.193517878651619,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-06-02,10.198644988238811,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-06-03,10.241859197616577,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-06-04,10.301187179982662,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-06-05,10.350993387401104,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-06-06,10.43522447347641,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-06-07,10.507736451923847,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-06-08,10.522385336458683,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-06-09,10.486495569348335,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-06-10,10.43082980811596,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-06-11,10.361247606575489,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-06-12,10.261635191738605,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-06-13,10.183263659477234,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-06-14,10.21842098236084,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-06-15,10.189123213291168,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-06-16,10.134189896285534,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-06-17,10.131992563605309,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-06-18,10.199377432465553,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-06-19,10.314371176064014,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-06-20,10.397869817912579,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-06-21,10.402996927499771,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-06-22,10.476973794400692,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-06-23,10.453535579144955,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-06-24,10.272621855139732,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-06-25,9.975249499082565,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-06-26,9.70717491209507,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-06-27,9.553361624479294,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-06-28,9.605365164577961,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-06-29,9.904934853315353,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-06-30,10.224280536174774,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-07-01,10.543626219034195,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-07-02,10.820490136742592,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-07-03,10.967711426317692,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-07-04,11.009460747241974,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-07-05,11.024842076003551,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-07-06,11.102481164038181,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-07-07,11.153752259910107,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-07-08,11.006530970335007,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-07-09,10.894467003643513,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-07-10,10.916440330445766,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-07-11,10.890804782509804,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-07-12,10.75457015633583,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
